train,test,n
0.9997091332169866,0.5687699912765338,343.0
0.9997091332169866,0.5737132887467287,344.0
0.9997091332169866,0.5702239022971795,345.0
0.9997091332169866,0.5644082582145973,346.0
0.9997091332169866,0.558301831927886,347.0
0.9997091332169866,0.5809828438499564,348.0
0.9997091332169866,0.5615004361733061,349.0
0.9997091332169866,0.5603373073567898,350.0
0.9997091332169866,0.5931956964233789,351.0
0.9997091332169866,0.5577202675196278,352.0
0.9997091332169866,0.5597557429485316,353.0
0.9997091332169866,0.560918871765048,354.0
0.9997091332169866,0.5594649607444024,355.0
0.9997091332169866,0.5588833963361443,356.0
0.9997091332169866,0.5498691480081419,357.0
0.9997091332169866,0.5571387031113696,358.0
0.9997091332169866,0.5600465251526606,359.0
0.9997091332169866,0.5612096539691771,360.0
0.9997091332169866,0.5472521081709799,361.0
0.9997091332169866,0.5577202675196278,362.0
0.9997091332169866,0.5594649607444024,363.0
0.9997091332169866,0.5629543471939518,364.0
0.9997091332169866,0.5423088107007851,365.0
0.9997091332169866,0.571677813317825,366.0
0.9997091332169866,0.5693515556847921,367.0
0.9997091332169866,0.5356208200058157,368.0
0.9997091332169866,0.5510322768246584,369.0
0.9997091332169866,0.5597557429485316,370.0
0.9997091332169866,0.5681884268682756,371.0
0.9997091332169866,0.5615004361733061,372.0
0.9997091332169866,0.5504507124164001,373.0
0.9997091332169866,0.5484152369874964,374.0
0.9997091332169866,0.5437627217214307,375.0
0.9997091332169866,0.5437627217214307,376.0
0.9997091332169866,0.5434719395173015,377.0
0.9997091332169866,0.5629543471939518,378.0
0.9997091332169866,0.5545216632742076,379.0
0.9997091332169866,0.5396917708636232,380.0
0.9997091332169866,0.5646990404187264,381.0
0.9997091332169866,0.5542308810700786,382.0
0.9997091332169866,0.5676068624600175,383.0
0.9997091332169866,0.542018028496656,384.0
0.9997091332169866,0.5510322768246584,385.0
0.9997091332169866,0.5585926141320151,386.0
0.9997091332169866,0.5786565862169235,387.0
0.9997091332169866,0.5207909275952312,388.0
0.9997091332169866,0.5620820005815644,389.0
0.9997091332169866,0.542018028496656,390.0
